new_tx_ids,unknown_a,unknown_b
"1-16,1-18",1-19,7-10
"1-16,1-18",1-19,7-11
"1-16,1-18",1-19,7-20
"1-16,1-18",1-19,7-7
"1-16,1-18",1-19,8-1
"1-16,1-18",1-19,8-13
"1-16,1-18",1-19,8-18
"1-16,1-18",1-19,8-3
"1-16,1-18",1-19,8-7
"1-16,1-18",1-19,8-8
"1-16,1-18",1-19,9-1
"1-16,1-18",1-19,9-20
"1-16,1-18",1-2,1-8
"1-16,1-18",1-2,10-1
"1-16,1-18",1-2,10-10
"1-16,1-18",1-2,10-11
"1-16,1-18",1-2,10-17
"1-16,1-18",1-2,10-4
"1-16,1-18",1-2,10-7
"1-16,1-18",1-2,11-1
"1-16,1-18",1-2,11-10
"1-16,1-18",1-2,11-17
"1-16,1-18",1-2,11-19
"1-16,1-18",1-2,11-20
"1-16,1-18",1-2,11-4
"1-16,1-18",1-2,11-7
"1-16,1-18",1-2,12-19
"1-16,1-18",1-2,12-20
"1-16,1-18",1-2,12-7
"1-16,1-18",1-2,13-14
"1-16,1-18",1-2,13-19
"1-16,1-18",1-2,13-20
"1-16,1-18",1-2,13-3
"1-16,1-18",1-2,13-7
"1-16,1-18",1-2,14-11
"1-16,1-18",1-2,14-12
"1-16,1-18",1-2,14-13
"1-16,1-18",1-2,14-14
"1-16,1-18",1-2,14-20
"1-16,1-18",1-2,14-8
"1-16,1-18",1-2,14-9
"1-16,1-18",1-2,15-1
"1-16,1-18",1-2,15-19
"1-16,1-18",1-2,15-6
"1-16,1-18",1-2,16-1
"1-16,1-18",1-2,16-16
"1-16,1-18",1-2,16-19
"1-16,1-18",1-2,16-20
"1-16,1-18",1-2,16-5
"1-16,1-18",1-2,17-10
"1-16,1-18",1-2,17-11
"1-16,1-18",1-2,18-1
"1-16,1-18",1-2,18-10
"1-16,1-18",1-2,18-11
"1-16,1-18",1-2,18-12
"1-16,1-18",1-2,18-13
"1-16,1-18",1-2,18-14
"1-16,1-18",1-2,18-15
"1-16,1-18",1-2,18-16
"1-16,1-18",1-2,18-17
"1-16,1-18",1-2,18-2
"1-16,1-18",1-2,18-20
"1-16,1-18",1-2,18-4
"1-16,1-18",1-2,18-5
"1-16,1-18",1-2,18-7
"1-16,1-18",1-2,18-8
"1-16,1-18",1-2,18-9
"1-16,1-18",1-2,19-1
"1-16,1-18",1-2,19-10
"1-16,1-18",1-2,19-11
"1-16,1-18",1-2,19-12
"1-16,1-18",1-2,19-13
"1-16,1-18",1-2,19-14
"1-16,1-18",1-2,19-19
"1-16,1-18",1-2,19-20
"1-16,1-18",1-2,19-3
"1-16,1-18",1-2,19-4
"1-16,1-18",1-2,19-6
"1-16,1-18",1-2,19-7
"1-16,1-18",1-2,19-8
"1-16,1-18",1-2,19-9
"1-16,1-18",1-2,2-12
"1-16,1-18",1-2,2-13
"1-16,1-18",1-2,2-15
"1-16,1-18",1-2,2-16
"1-16,1-18",1-2,2-19
"1-16,1-18",1-2,2-20
"1-16,1-18",1-2,2-3
"1-16,1-18",1-2,2-4
"1-16,1-18",1-2,2-5
"1-16,1-18",1-2,2-6
"1-16,1-18",1-2,2-7
"1-16,1-18",1-2,2-8
"1-16,1-18",1-2,20-12
"1-16,1-18",1-2,20-14
"1-16,1-18",1-2,20-16
"1-16,1-18",1-2,20-18
"1-16,1-18",1-2,20-20
"1-16,1-18",1-2,20-3
"1-16,1-18",1-2,20-4
"1-16,1-18",1-2,20-5
"1-16,1-18",1-2,20-7
"1-16,1-18",1-2,20-8
"1-16,1-18",1-2,3-1
"1-16,1-18",1-2,3-13
"1-16,1-18",1-2,3-18
"1-16,1-18",1-2,3-2
"1-16,1-18",1-2,3-8
"1-16,1-18",1-2,4-1
"1-16,1-18",1-2,4-10
"1-16,1-18",1-2,4-11
"1-16,1-18",1-2,5-1
"1-16,1-18",1-2,5-5
"1-16,1-18",1-2,6-1
"1-16,1-18",1-2,6-6
"1-16,1-18",1-2,7-10
"1-16,1-18",1-2,7-11
"1-16,1-18",1-2,7-20
"1-16,1-18",1-2,7-7
"1-16,1-18",1-2,8-1
"1-16,1-18",1-2,8-13
"1-16,1-18",1-2,8-18
"1-16,1-18",1-2,8-3
"1-16,1-18",1-2,8-7
"1-16,1-18",1-2,8-8
"1-16,1-18",1-2,9-1
"1-16,1-18",1-2,9-20
"1-16,1-18",1-8,10-1
"1-16,1-18",1-8,10-10
"1-16,1-18",1-8,10-11
"1-16,1-18",1-8,10-17
"1-16,1-18",1-8,10-4
"1-16,1-18",1-8,10-7
"1-16,1-18",1-8,11-1
"1-16,1-18",1-8,11-10
"1-16,1-18",1-8,11-17
"1-16,1-18",1-8,11-19
"1-16,1-18",1-8,11-20
"1-16,1-18",1-8,11-4
"1-16,1-18",1-8,11-7
"1-16,1-18",1-8,12-19
"1-16,1-18",1-8,12-20
"1-16,1-18",1-8,12-7
"1-16,1-18",1-8,13-14
"1-16,1-18",1-8,13-19
"1-16,1-18",1-8,13-20
"1-16,1-18",1-8,13-3
"1-16,1-18",1-8,13-7
"1-16,1-18",1-8,14-11
"1-16,1-18",1-8,14-12
"1-16,1-18",1-8,14-13
"1-16,1-18",1-8,14-14
"1-16,1-18",1-8,14-20
"1-16,1-18",1-8,14-8
"1-16,1-18",1-8,14-9
"1-16,1-18",1-8,15-1
"1-16,1-18",1-8,15-19
"1-16,1-18",1-8,15-6
"1-16,1-18",1-8,16-1
"1-16,1-18",1-8,16-16
"1-16,1-18",1-8,16-19
"1-16,1-18",1-8,16-20
"1-16,1-18",1-8,16-5
"1-16,1-18",1-8,17-10
"1-16,1-18",1-8,17-11
"1-16,1-18",1-8,18-1
"1-16,1-18",1-8,18-10
"1-16,1-18",1-8,18-11
"1-16,1-18",1-8,18-12
"1-16,1-18",1-8,18-13
"1-16,1-18",1-8,18-14
"1-16,1-18",1-8,18-15
"1-16,1-18",1-8,18-16
"1-16,1-18",1-8,18-17
"1-16,1-18",1-8,18-2
"1-16,1-18",1-8,18-20
"1-16,1-18",1-8,18-4
"1-16,1-18",1-8,18-5
"1-16,1-18",1-8,18-7
"1-16,1-18",1-8,18-8
"1-16,1-18",1-8,18-9
"1-16,1-18",1-8,19-1
"1-16,1-18",1-8,19-10
"1-16,1-18",1-8,19-11
"1-16,1-18",1-8,19-12
"1-16,1-18",1-8,19-13
"1-16,1-18",1-8,19-14
"1-16,1-18",1-8,19-19
"1-16,1-18",1-8,19-20
"1-16,1-18",1-8,19-3
"1-16,1-18",1-8,19-4
"1-16,1-18",1-8,19-6
"1-16,1-18",1-8,19-7
"1-16,1-18",1-8,19-8
"1-16,1-18",1-8,19-9
"1-16,1-18",1-8,2-12
"1-16,1-18",1-8,2-13
"1-16,1-18",1-8,2-15
"1-16,1-18",1-8,2-16
"1-16,1-18",1-8,2-19
"1-16,1-18",1-8,2-20
"1-16,1-18",1-8,2-3
"1-16,1-18",1-8,2-4
"1-16,1-18",1-8,2-5
"1-16,1-18",1-8,2-6
"1-16,1-18",1-8,2-7
"1-16,1-18",1-8,2-8
"1-16,1-18",1-8,20-12
"1-16,1-18",1-8,20-14
"1-16,1-18",1-8,20-16
"1-16,1-18",1-8,20-18
"1-16,1-18",1-8,20-20
"1-16,1-18",1-8,20-3
"1-16,1-18",1-8,20-4
"1-16,1-18",1-8,20-5
"1-16,1-18",1-8,20-7
"1-16,1-18",1-8,20-8
"1-16,1-18",1-8,3-1
"1-16,1-18",1-8,3-13
"1-16,1-18",1-8,3-18
"1-16,1-18",1-8,3-2
"1-16,1-18",1-8,3-8
"1-16,1-18",1-8,4-1
"1-16,1-18",1-8,4-10
"1-16,1-18",1-8,4-11
"1-16,1-18",1-8,5-1
"1-16,1-18",1-8,5-5
"1-16,1-18",1-8,6-1
"1-16,1-18",1-8,6-6
"1-16,1-18",1-8,7-10
"1-16,1-18",1-8,7-11
"1-16,1-18",1-8,7-20
"1-16,1-18",1-8,7-7
"1-16,1-18",1-8,8-1
"1-16,1-18",1-8,8-13
"1-16,1-18",1-8,8-18
"1-16,1-18",1-8,8-3
"1-16,1-18",1-8,8-7
"1-16,1-18",1-8,8-8
"1-16,1-18",1-8,9-1
"1-16,1-18",1-8,9-20
"1-16,1-18",10-1,10-10
"1-16,1-18",10-1,10-11
"1-16,1-18",10-1,10-17
"1-16,1-18",10-1,10-4
"1-16,1-18",10-1,10-7
"1-16,1-18",10-1,11-1
"1-16,1-18",10-1,11-10
"1-16,1-18",10-1,11-17
"1-16,1-18",10-1,11-19
"1-16,1-18",10-1,11-20
"1-16,1-18",10-1,11-4
"1-16,1-18",10-1,11-7
"1-16,1-18",10-1,12-19
"1-16,1-18",10-1,12-20
"1-16,1-18",10-1,12-7
"1-16,1-18",10-1,13-14
"1-16,1-18",10-1,13-19
"1-16,1-18",10-1,13-20
"1-16,1-18",10-1,13-3
"1-16,1-18",10-1,13-7
"1-16,1-18",10-1,14-11
"1-16,1-18",10-1,14-12
"1-16,1-18",10-1,14-13
"1-16,1-18",10-1,14-14
"1-16,1-18",10-1,14-20
"1-16,1-18",10-1,14-8
"1-16,1-18",10-1,14-9
"1-16,1-18",10-1,15-1
"1-16,1-18",10-1,15-19
"1-16,1-18",10-1,15-6
"1-16,1-18",10-1,16-1
"1-16,1-18",10-1,16-16
"1-16,1-18",10-1,16-19
"1-16,1-18",10-1,16-20
"1-16,1-18",10-1,16-5
"1-16,1-18",10-1,17-10
"1-16,1-18",10-1,17-11
"1-16,1-18",10-1,18-1
"1-16,1-18",10-1,18-10
"1-16,1-18",10-1,18-11
"1-16,1-18",10-1,18-12
"1-16,1-18",10-1,18-13
"1-16,1-18",10-1,18-14
"1-16,1-18",10-1,18-15
"1-16,1-18",10-1,18-16
"1-16,1-18",10-1,18-17
"1-16,1-18",10-1,18-2
"1-16,1-18",10-1,18-20
"1-16,1-18",10-1,18-4
"1-16,1-18",10-1,18-5
"1-16,1-18",10-1,18-7
"1-16,1-18",10-1,18-8
"1-16,1-18",10-1,18-9
"1-16,1-18",10-1,19-1
"1-16,1-18",10-1,19-10
"1-16,1-18",10-1,19-11
"1-16,1-18",10-1,19-12
"1-16,1-18",10-1,19-13
"1-16,1-18",10-1,19-14
"1-16,1-18",10-1,19-19
"1-16,1-18",10-1,19-20
"1-16,1-18",10-1,19-3
"1-16,1-18",10-1,19-4
"1-16,1-18",10-1,19-6
"1-16,1-18",10-1,19-7
"1-16,1-18",10-1,19-8
"1-16,1-18",10-1,19-9
"1-16,1-18",10-1,2-12
"1-16,1-18",10-1,2-13
"1-16,1-18",10-1,2-15
"1-16,1-18",10-1,2-16
"1-16,1-18",10-1,2-19
"1-16,1-18",10-1,2-20
"1-16,1-18",10-1,2-3
"1-16,1-18",10-1,2-4
"1-16,1-18",10-1,2-5
"1-16,1-18",10-1,2-6
"1-16,1-18",10-1,2-7
"1-16,1-18",10-1,2-8
"1-16,1-18",10-1,20-12
"1-16,1-18",10-1,20-14
"1-16,1-18",10-1,20-16
"1-16,1-18",10-1,20-18
"1-16,1-18",10-1,20-20
"1-16,1-18",10-1,20-3
"1-16,1-18",10-1,20-4
"1-16,1-18",10-1,20-5
"1-16,1-18",10-1,20-7
"1-16,1-18",10-1,20-8
"1-16,1-18",10-1,3-1
"1-16,1-18",10-1,3-13
"1-16,1-18",10-1,3-18
"1-16,1-18",10-1,3-2
"1-16,1-18",10-1,3-8
"1-16,1-18",10-1,4-1
"1-16,1-18",10-1,4-10
"1-16,1-18",10-1,4-11
"1-16,1-18",10-1,5-1
"1-16,1-18",10-1,5-5
"1-16,1-18",10-1,6-1
"1-16,1-18",10-1,6-6
"1-16,1-18",10-1,7-10
"1-16,1-18",10-1,7-11
"1-16,1-18",10-1,7-20
"1-16,1-18",10-1,7-7
"1-16,1-18",10-1,8-1
"1-16,1-18",10-1,8-13
"1-16,1-18",10-1,8-18
"1-16,1-18",10-1,8-3
"1-16,1-18",10-1,8-7
"1-16,1-18",10-1,8-8
"1-16,1-18",10-1,9-1
"1-16,1-18",10-1,9-20
"1-16,1-18",10-10,10-11
"1-16,1-18",10-10,10-17
"1-16,1-18",10-10,10-4
"1-16,1-18",10-10,10-7
"1-16,1-18",10-10,11-1
"1-16,1-18",10-10,11-10
"1-16,1-18",10-10,11-17
"1-16,1-18",10-10,11-19
"1-16,1-18",10-10,11-20
"1-16,1-18",10-10,11-4
"1-16,1-18",10-10,11-7
"1-16,1-18",10-10,12-19
"1-16,1-18",10-10,12-20
"1-16,1-18",10-10,12-7
"1-16,1-18",10-10,13-14
"1-16,1-18",10-10,13-19
"1-16,1-18",10-10,13-20
"1-16,1-18",10-10,13-3
"1-16,1-18",10-10,13-7
"1-16,1-18",10-10,14-11
"1-16,1-18",10-10,14-12
"1-16,1-18",10-10,14-13
"1-16,1-18",10-10,14-14
"1-16,1-18",10-10,14-20
"1-16,1-18",10-10,14-8
"1-16,1-18",10-10,14-9
"1-16,1-18",10-10,15-1
"1-16,1-18",10-10,15-19
"1-16,1-18",10-10,15-6
"1-16,1-18",10-10,16-1
"1-16,1-18",10-10,16-16
"1-16,1-18",10-10,16-19
"1-16,1-18",10-10,16-20
"1-16,1-18",10-10,16-5
"1-16,1-18",10-10,17-10
"1-16,1-18",10-10,17-11
"1-16,1-18",10-10,18-1
"1-16,1-18",10-10,18-10
"1-16,1-18",10-10,18-11
"1-16,1-18",10-10,18-12
"1-16,1-18",10-10,18-13
"1-16,1-18",10-10,18-14
"1-16,1-18",10-10,18-15
"1-16,1-18",10-10,18-16
"1-16,1-18",10-10,18-17
"1-16,1-18",10-10,18-2
"1-16,1-18",10-10,18-20
"1-16,1-18",10-10,18-4
"1-16,1-18",10-10,18-5
"1-16,1-18",10-10,18-7
"1-16,1-18",10-10,18-8
"1-16,1-18",10-10,18-9
"1-16,1-18",10-10,19-1
"1-16,1-18",10-10,19-10
"1-16,1-18",10-10,19-11
"1-16,1-18",10-10,19-12
"1-16,1-18",10-10,19-13
"1-16,1-18",10-10,19-14
"1-16,1-18",10-10,19-19
"1-16,1-18",10-10,19-20
"1-16,1-18",10-10,19-3
"1-16,1-18",10-10,19-4
"1-16,1-18",10-10,19-6
"1-16,1-18",10-10,19-7
"1-16,1-18",10-10,19-8
"1-16,1-18",10-10,19-9
"1-16,1-18",10-10,2-12
"1-16,1-18",10-10,2-13
"1-16,1-18",10-10,2-15
"1-16,1-18",10-10,2-16
"1-16,1-18",10-10,2-19
"1-16,1-18",10-10,2-20
"1-16,1-18",10-10,2-3
"1-16,1-18",10-10,2-4
"1-16,1-18",10-10,2-5
"1-16,1-18",10-10,2-6
"1-16,1-18",10-10,2-7
"1-16,1-18",10-10,2-8
"1-16,1-18",10-10,20-12
"1-16,1-18",10-10,20-14
"1-16,1-18",10-10,20-16
"1-16,1-18",10-10,20-18
"1-16,1-18",10-10,20-20
"1-16,1-18",10-10,20-3
"1-16,1-18",10-10,20-4
"1-16,1-18",10-10,20-5
"1-16,1-18",10-10,20-7
"1-16,1-18",10-10,20-8
"1-16,1-18",10-10,3-1
"1-16,1-18",10-10,3-13
"1-16,1-18",10-10,3-18
"1-16,1-18",10-10,3-2
"1-16,1-18",10-10,3-8
"1-16,1-18",10-10,4-1
"1-16,1-18",10-10,4-10
"1-16,1-18",10-10,4-11
"1-16,1-18",10-10,5-1
"1-16,1-18",10-10,5-5
"1-16,1-18",10-10,6-1
"1-16,1-18",10-10,6-6
"1-16,1-18",10-10,7-10
"1-16,1-18",10-10,7-11
"1-16,1-18",10-10,7-20
"1-16,1-18",10-10,7-7
"1-16,1-18",10-10,8-1
"1-16,1-18",10-10,8-13
"1-16,1-18",10-10,8-18
"1-16,1-18",10-10,8-3
"1-16,1-18",10-10,8-7
"1-16,1-18",10-10,8-8
"1-16,1-18",10-10,9-1
"1-16,1-18",10-10,9-20
"1-16,1-18",10-11,10-17
"1-16,1-18",10-11,10-4
"1-16,1-18",10-11,10-7
"1-16,1-18",10-11,11-1
"1-16,1-18",10-11,11-10
"1-16,1-18",10-11,11-17
"1-16,1-18",10-11,11-19
"1-16,1-18",10-11,11-20
"1-16,1-18",10-11,11-4
"1-16,1-18",10-11,11-7
"1-16,1-18",10-11,12-19
"1-16,1-18",10-11,12-20
"1-16,1-18",10-11,12-7
"1-16,1-18",10-11,13-14
"1-16,1-18",10-11,13-19
"1-16,1-18",10-11,13-20
"1-16,1-18",10-11,13-3
"1-16,1-18",10-11,13-7
"1-16,1-18",10-11,14-11
"1-16,1-18",10-11,14-12
"1-16,1-18",10-11,14-13
"1-16,1-18",10-11,14-14
"1-16,1-18",10-11,14-20
"1-16,1-18",10-11,14-8
"1-16,1-18",10-11,14-9
"1-16,1-18",10-11,15-1
"1-16,1-18",10-11,15-19
"1-16,1-18",10-11,15-6
"1-16,1-18",10-11,16-1
"1-16,1-18",10-11,16-16
"1-16,1-18",10-11,16-19
"1-16,1-18",10-11,16-20
"1-16,1-18",10-11,16-5
"1-16,1-18",10-11,17-10
"1-16,1-18",10-11,17-11
"1-16,1-18",10-11,18-1
"1-16,1-18",10-11,18-10
"1-16,1-18",10-11,18-11
"1-16,1-18",10-11,18-12
"1-16,1-18",10-11,18-13
"1-16,1-18",10-11,18-14
"1-16,1-18",10-11,18-15
"1-16,1-18",10-11,18-16
"1-16,1-18",10-11,18-17
"1-16,1-18",10-11,18-2
"1-16,1-18",10-11,18-20
"1-16,1-18",10-11,18-4
"1-16,1-18",10-11,18-5
"1-16,1-18",10-11,18-7
"1-16,1-18",10-11,18-8
"1-16,1-18",10-11,18-9
"1-16,1-18",10-11,19-1
"1-16,1-18",10-11,19-10
"1-16,1-18",10-11,19-11
"1-16,1-18",10-11,19-12
"1-16,1-18",10-11,19-13
"1-16,1-18",10-11,19-14
"1-16,1-18",10-11,19-19
"1-16,1-18",10-11,19-20
"1-16,1-18",10-11,19-3
"1-16,1-18",10-11,19-4
"1-16,1-18",10-11,19-6
"1-16,1-18",10-11,19-7
"1-16,1-18",10-11,19-8
"1-16,1-18",10-11,19-9
"1-16,1-18",10-11,2-12
"1-16,1-18",10-11,2-13
"1-16,1-18",10-11,2-15
"1-16,1-18",10-11,2-16
"1-16,1-18",10-11,2-19
"1-16,1-18",10-11,2-20
"1-16,1-18",10-11,2-3
"1-16,1-18",10-11,2-4
"1-16,1-18",10-11,2-5
"1-16,1-18",10-11,2-6
"1-16,1-18",10-11,2-7
"1-16,1-18",10-11,2-8
"1-16,1-18",10-11,20-12
"1-16,1-18",10-11,20-14
"1-16,1-18",10-11,20-16
"1-16,1-18",10-11,20-18
"1-16,1-18",10-11,20-20
"1-16,1-18",10-11,20-3
"1-16,1-18",10-11,20-4
"1-16,1-18",10-11,20-5
"1-16,1-18",10-11,20-7
"1-16,1-18",10-11,20-8
"1-16,1-18",10-11,3-1
"1-16,1-18",10-11,3-13
"1-16,1-18",10-11,3-18
"1-16,1-18",10-11,3-2
"1-16,1-18",10-11,3-8
"1-16,1-18",10-11,4-1
"1-16,1-18",10-11,4-10
"1-16,1-18",10-11,4-11
"1-16,1-18",10-11,5-1
"1-16,1-18",10-11,5-5
"1-16,1-18",10-11,6-1
"1-16,1-18",10-11,6-6
"1-16,1-18",10-11,7-10
"1-16,1-18",10-11,7-11
"1-16,1-18",10-11,7-20
"1-16,1-18",10-11,7-7
"1-16,1-18",10-11,8-1
"1-16,1-18",10-11,8-13
"1-16,1-18",10-11,8-18
"1-16,1-18",10-11,8-3
"1-16,1-18",10-11,8-7
"1-16,1-18",10-11,8-8
"1-16,1-18",10-11,9-1
"1-16,1-18",10-11,9-20
"1-16,1-18",10-17,10-4
"1-16,1-18",10-17,10-7
"1-16,1-18",10-17,11-1
"1-16,1-18",10-17,11-10
"1-16,1-18",10-17,11-17
"1-16,1-18",10-17,11-19
"1-16,1-18",10-17,11-20
"1-16,1-18",10-17,11-4
"1-16,1-18",10-17,11-7
"1-16,1-18",10-17,12-19
"1-16,1-18",10-17,12-20
"1-16,1-18",10-17,12-7
"1-16,1-18",10-17,13-14
"1-16,1-18",10-17,13-19
"1-16,1-18",10-17,13-20
"1-16,1-18",10-17,13-3
"1-16,1-18",10-17,13-7
"1-16,1-18",10-17,14-11
"1-16,1-18",10-17,14-12
"1-16,1-18",10-17,14-13
"1-16,1-18",10-17,14-14
"1-16,1-18",10-17,14-20
"1-16,1-18",10-17,14-8
"1-16,1-18",10-17,14-9
"1-16,1-18",10-17,15-1
"1-16,1-18",10-17,15-19
"1-16,1-18",10-17,15-6
"1-16,1-18",10-17,16-1
"1-16,1-18",10-17,16-16
"1-16,1-18",10-17,16-19
"1-16,1-18",10-17,16-20
"1-16,1-18",10-17,16-5
"1-16,1-18",10-17,17-10
"1-16,1-18",10-17,17-11
"1-16,1-18",10-17,18-1
"1-16,1-18",10-17,18-10
"1-16,1-18",10-17,18-11
"1-16,1-18",10-17,18-12
"1-16,1-18",10-17,18-13
"1-16,1-18",10-17,18-14
"1-16,1-18",10-17,18-15
"1-16,1-18",10-17,18-16
"1-16,1-18",10-17,18-17
"1-16,1-18",10-17,18-2
"1-16,1-18",10-17,18-20
"1-16,1-18",10-17,18-4
"1-16,1-18",10-17,18-5
"1-16,1-18",10-17,18-7
"1-16,1-18",10-17,18-8
"1-16,1-18",10-17,18-9
"1-16,1-18",10-17,19-1
"1-16,1-18",10-17,19-10
"1-16,1-18",10-17,19-11
"1-16,1-18",10-17,19-12
"1-16,1-18",10-17,19-13
"1-16,1-18",10-17,19-14
"1-16,1-18",10-17,19-19
"1-16,1-18",10-17,19-20
"1-16,1-18",10-17,19-3
"1-16,1-18",10-17,19-4
"1-16,1-18",10-17,19-6
"1-16,1-18",10-17,19-7
"1-16,1-18",10-17,19-8
"1-16,1-18",10-17,19-9
"1-16,1-18",10-17,2-12
"1-16,1-18",10-17,2-13
"1-16,1-18",10-17,2-15
"1-16,1-18",10-17,2-16
"1-16,1-18",10-17,2-19
"1-16,1-18",10-17,2-20
"1-16,1-18",10-17,2-3
"1-16,1-18",10-17,2-4
"1-16,1-18",10-17,2-5
"1-16,1-18",10-17,2-6
"1-16,1-18",10-17,2-7
"1-16,1-18",10-17,2-8
"1-16,1-18",10-17,20-12
"1-16,1-18",10-17,20-14
"1-16,1-18",10-17,20-16
"1-16,1-18",10-17,20-18
"1-16,1-18",10-17,20-20
"1-16,1-18",10-17,20-3
"1-16,1-18",10-17,20-4
"1-16,1-18",10-17,20-5
"1-16,1-18",10-17,20-7
"1-16,1-18",10-17,20-8
"1-16,1-18",10-17,3-1
"1-16,1-18",10-17,3-13
"1-16,1-18",10-17,3-18
"1-16,1-18",10-17,3-2
"1-16,1-18",10-17,3-8
"1-16,1-18",10-17,4-1
"1-16,1-18",10-17,4-10
"1-16,1-18",10-17,4-11
"1-16,1-18",10-17,5-1
"1-16,1-18",10-17,5-5
"1-16,1-18",10-17,6-1
"1-16,1-18",10-17,6-6
"1-16,1-18",10-17,7-10
"1-16,1-18",10-17,7-11
"1-16,1-18",10-17,7-20
"1-16,1-18",10-17,7-7
"1-16,1-18",10-17,8-1
"1-16,1-18",10-17,8-13
"1-16,1-18",10-17,8-18
"1-16,1-18",10-17,8-3
"1-16,1-18",10-17,8-7
"1-16,1-18",10-17,8-8
"1-16,1-18",10-17,9-1
"1-16,1-18",10-17,9-20
"1-16,1-18",10-4,10-7
"1-16,1-18",10-4,11-1
"1-16,1-18",10-4,11-10
"1-16,1-18",10-4,11-17
"1-16,1-18",10-4,11-19
"1-16,1-18",10-4,11-20
"1-16,1-18",10-4,11-4
"1-16,1-18",10-4,11-7
"1-16,1-18",10-4,12-19
"1-16,1-18",10-4,12-20
"1-16,1-18",10-4,12-7
"1-16,1-18",10-4,13-14
"1-16,1-18",10-4,13-19
"1-16,1-18",10-4,13-20
"1-16,1-18",10-4,13-3
"1-16,1-18",10-4,13-7
"1-16,1-18",10-4,14-11
"1-16,1-18",10-4,14-12
"1-16,1-18",10-4,14-13
"1-16,1-18",10-4,14-14
"1-16,1-18",10-4,14-20
"1-16,1-18",10-4,14-8
"1-16,1-18",10-4,14-9
"1-16,1-18",10-4,15-1
"1-16,1-18",10-4,15-19
"1-16,1-18",10-4,15-6
"1-16,1-18",10-4,16-1
"1-16,1-18",10-4,16-16
"1-16,1-18",10-4,16-19
"1-16,1-18",10-4,16-20
"1-16,1-18",10-4,16-5
"1-16,1-18",10-4,17-10
"1-16,1-18",10-4,17-11
"1-16,1-18",10-4,18-1
"1-16,1-18",10-4,18-10
"1-16,1-18",10-4,18-11
"1-16,1-18",10-4,18-12
"1-16,1-18",10-4,18-13
"1-16,1-18",10-4,18-14
"1-16,1-18",10-4,18-15
"1-16,1-18",10-4,18-16
"1-16,1-18",10-4,18-17
"1-16,1-18",10-4,18-2
"1-16,1-18",10-4,18-20
"1-16,1-18",10-4,18-4
"1-16,1-18",10-4,18-5
"1-16,1-18",10-4,18-7
"1-16,1-18",10-4,18-8
"1-16,1-18",10-4,18-9
"1-16,1-18",10-4,19-1
"1-16,1-18",10-4,19-10
"1-16,1-18",10-4,19-11
"1-16,1-18",10-4,19-12
"1-16,1-18",10-4,19-13
"1-16,1-18",10-4,19-14
"1-16,1-18",10-4,19-19
"1-16,1-18",10-4,19-20
"1-16,1-18",10-4,19-3
"1-16,1-18",10-4,19-4
"1-16,1-18",10-4,19-6
"1-16,1-18",10-4,19-7
"1-16,1-18",10-4,19-8
"1-16,1-18",10-4,19-9
"1-16,1-18",10-4,2-12
"1-16,1-18",10-4,2-13
"1-16,1-18",10-4,2-15
"1-16,1-18",10-4,2-16
"1-16,1-18",10-4,2-19
"1-16,1-18",10-4,2-20
"1-16,1-18",10-4,2-3
"1-16,1-18",10-4,2-4
"1-16,1-18",10-4,2-5
"1-16,1-18",10-4,2-6
"1-16,1-18",10-4,2-7
"1-16,1-18",10-4,2-8
"1-16,1-18",10-4,20-12
"1-16,1-18",10-4,20-14
"1-16,1-18",10-4,20-16
"1-16,1-18",10-4,20-18
"1-16,1-18",10-4,20-20
"1-16,1-18",10-4,20-3
"1-16,1-18",10-4,20-4
"1-16,1-18",10-4,20-5
"1-16,1-18",10-4,20-7
"1-16,1-18",10-4,20-8
"1-16,1-18",10-4,3-1
"1-16,1-18",10-4,3-13
"1-16,1-18",10-4,3-18
"1-16,1-18",10-4,3-2
"1-16,1-18",10-4,3-8
"1-16,1-18",10-4,4-1
"1-16,1-18",10-4,4-10
"1-16,1-18",10-4,4-11
"1-16,1-18",10-4,5-1
"1-16,1-18",10-4,5-5
"1-16,1-18",10-4,6-1
"1-16,1-18",10-4,6-6
"1-16,1-18",10-4,7-10
"1-16,1-18",10-4,7-11
"1-16,1-18",10-4,7-20
"1-16,1-18",10-4,7-7
"1-16,1-18",10-4,8-1
"1-16,1-18",10-4,8-13
"1-16,1-18",10-4,8-18
"1-16,1-18",10-4,8-3
"1-16,1-18",10-4,8-7
"1-16,1-18",10-4,8-8
"1-16,1-18",10-4,9-1
"1-16,1-18",10-4,9-20
"1-16,1-18",10-7,11-1
"1-16,1-18",10-7,11-10
"1-16,1-18",10-7,11-17
"1-16,1-18",10-7,11-19
"1-16,1-18",10-7,11-20
"1-16,1-18",10-7,11-4
"1-16,1-18",10-7,11-7
"1-16,1-18",10-7,12-19
"1-16,1-18",10-7,12-20
"1-16,1-18",10-7,12-7
"1-16,1-18",10-7,13-14
"1-16,1-18",10-7,13-19
"1-16,1-18",10-7,13-20
"1-16,1-18",10-7,13-3
"1-16,1-18",10-7,13-7
"1-16,1-18",10-7,14-11
"1-16,1-18",10-7,14-12
"1-16,1-18",10-7,14-13
"1-16,1-18",10-7,14-14
"1-16,1-18",10-7,14-20
"1-16,1-18",10-7,14-8
"1-16,1-18",10-7,14-9
"1-16,1-18",10-7,15-1
"1-16,1-18",10-7,15-19
"1-16,1-18",10-7,15-6
"1-16,1-18",10-7,16-1
