domain,seen_new_a,seen_new_b,samples_a,samples_b
20-1,2-14,7-14,200,200
20-1,2-14,7-20,200,200
20-1,2-14,7-7,200,200
20-1,2-14,7-8,200,200
20-1,2-14,7-9,200,200
20-1,2-14,8-1,200,200
20-1,2-14,8-13,200,200
20-1,2-14,8-14,200,200
20-1,2-14,8-18,200,200
20-1,2-14,8-3,200,200
20-1,2-14,8-7,200,177
20-1,2-14,8-8,200,200
20-1,2-14,9-1,200,200
20-1,2-14,9-14,200,164
20-1,2-14,9-20,200,200
20-1,2-14,9-7,200,200
20-1,2-15,2-16,200,154
20-1,2-15,2-17,200,200
20-1,2-15,2-19,200,200
20-1,2-15,2-20,200,185
20-1,2-15,2-3,200,200
20-1,2-15,2-4,200,200
20-1,2-15,2-5,200,200
20-1,2-15,2-6,200,131
20-1,2-15,2-7,200,200
20-1,2-15,2-8,200,200
20-1,2-15,20-1,200,200
20-1,2-15,20-12,200,200
20-1,2-15,20-14,200,200
20-1,2-15,20-16,200,200
20-1,2-15,20-18,200,200
20-1,2-15,20-20,200,200
20-1,2-15,20-3,200,135
20-1,2-15,20-4,200,200
20-1,2-15,20-5,200,200
20-1,2-15,20-7,200,200
20-1,2-15,20-8,200,200
20-1,2-15,3-1,200,200
20-1,2-15,3-13,200,200
20-1,2-15,3-18,200,200
20-1,2-15,3-19,200,200
20-1,2-15,3-2,200,200
20-1,2-15,3-20,200,200
20-1,2-15,3-8,200,200
20-1,2-15,4-1,200,200
20-1,2-15,4-10,200,157
20-1,2-15,4-11,200,200
20-1,2-15,5-1,200,200
20-1,2-15,5-16,200,200
20-1,2-15,5-20,200,200
20-1,2-15,5-5,200,200
20-1,2-15,6-1,200,200
20-1,2-15,6-6,200,200
20-1,2-15,7-10,200,200
20-1,2-15,7-11,200,200
20-1,2-15,7-12,200,200
20-1,2-15,7-13,200,200
20-1,2-15,7-14,200,200
20-1,2-15,7-20,200,200
20-1,2-15,7-7,200,200
20-1,2-15,7-8,200,200
20-1,2-15,7-9,200,200
20-1,2-15,8-1,200,200
20-1,2-15,8-13,200,200
20-1,2-15,8-14,200,200
20-1,2-15,8-18,200,200
20-1,2-15,8-3,200,200
20-1,2-15,8-7,200,177
20-1,2-15,8-8,200,200
20-1,2-15,9-1,200,200
20-1,2-15,9-14,200,164
20-1,2-15,9-20,200,200
20-1,2-15,9-7,200,200
20-1,2-16,2-17,154,200
20-1,2-16,2-19,154,200
20-1,2-16,2-20,154,185
20-1,2-16,2-3,154,200
20-1,2-16,2-4,154,200
20-1,2-16,2-5,154,200
20-1,2-16,2-6,154,131
20-1,2-16,2-7,154,200
20-1,2-16,2-8,154,200
20-1,2-16,20-1,154,200
20-1,2-16,20-12,154,200
20-1,2-16,20-14,154,200
20-1,2-16,20-16,154,200
20-1,2-16,20-18,154,200
20-1,2-16,20-20,154,200
20-1,2-16,20-3,154,135
20-1,2-16,20-4,154,200
20-1,2-16,20-5,154,200
20-1,2-16,20-7,154,200
20-1,2-16,20-8,154,200
20-1,2-16,3-1,154,200
20-1,2-16,3-13,154,200
20-1,2-16,3-18,154,200
20-1,2-16,3-19,154,200
20-1,2-16,3-2,154,200
20-1,2-16,3-20,154,200
20-1,2-16,3-8,154,200
20-1,2-16,4-1,154,200
20-1,2-16,4-10,154,157
20-1,2-16,4-11,154,200
20-1,2-16,5-1,154,200
20-1,2-16,5-16,154,200
20-1,2-16,5-20,154,200
20-1,2-16,5-5,154,200
20-1,2-16,6-1,154,200
20-1,2-16,6-6,154,200
20-1,2-16,7-10,154,200
20-1,2-16,7-11,154,200
20-1,2-16,7-12,154,200
20-1,2-16,7-13,154,200
20-1,2-16,7-14,154,200
20-1,2-16,7-20,154,200
20-1,2-16,7-7,154,200
20-1,2-16,7-8,154,200
20-1,2-16,7-9,154,200
20-1,2-16,8-1,154,200
20-1,2-16,8-13,154,200
20-1,2-16,8-14,154,200
20-1,2-16,8-18,154,200
20-1,2-16,8-3,154,200
20-1,2-16,8-7,154,177
20-1,2-16,8-8,154,200
20-1,2-16,9-1,154,200
20-1,2-16,9-14,154,164
20-1,2-16,9-20,154,200
20-1,2-16,9-7,154,200
20-1,2-17,2-19,200,200
20-1,2-17,2-20,200,185
20-1,2-17,2-3,200,200
20-1,2-17,2-4,200,200
20-1,2-17,2-5,200,200
20-1,2-17,2-6,200,131
20-1,2-17,2-7,200,200
20-1,2-17,2-8,200,200
20-1,2-17,20-1,200,200
20-1,2-17,20-12,200,200
20-1,2-17,20-14,200,200
20-1,2-17,20-16,200,200
20-1,2-17,20-18,200,200
20-1,2-17,20-20,200,200
20-1,2-17,20-3,200,135
20-1,2-17,20-4,200,200
20-1,2-17,20-5,200,200
20-1,2-17,20-7,200,200
20-1,2-17,20-8,200,200
20-1,2-17,3-1,200,200
20-1,2-17,3-13,200,200
20-1,2-17,3-18,200,200
20-1,2-17,3-19,200,200
20-1,2-17,3-2,200,200
20-1,2-17,3-20,200,200
20-1,2-17,3-8,200,200
20-1,2-17,4-1,200,200
20-1,2-17,4-10,200,157
20-1,2-17,4-11,200,200
20-1,2-17,5-1,200,200
20-1,2-17,5-16,200,200
20-1,2-17,5-20,200,200
20-1,2-17,5-5,200,200
20-1,2-17,6-1,200,200
20-1,2-17,6-6,200,200
20-1,2-17,7-10,200,200
20-1,2-17,7-11,200,200
20-1,2-17,7-12,200,200
20-1,2-17,7-13,200,200
20-1,2-17,7-14,200,200
20-1,2-17,7-20,200,200
20-1,2-17,7-7,200,200
20-1,2-17,7-8,200,200
20-1,2-17,7-9,200,200
20-1,2-17,8-1,200,200
20-1,2-17,8-13,200,200
20-1,2-17,8-14,200,200
20-1,2-17,8-18,200,200
20-1,2-17,8-3,200,200
20-1,2-17,8-7,200,177
20-1,2-17,8-8,200,200
20-1,2-17,9-1,200,200
20-1,2-17,9-14,200,164
20-1,2-17,9-20,200,200
20-1,2-17,9-7,200,200
20-1,2-19,2-20,200,185
20-1,2-19,2-3,200,200
20-1,2-19,2-4,200,200
20-1,2-19,2-5,200,200
20-1,2-19,2-6,200,131
20-1,2-19,2-7,200,200
20-1,2-19,2-8,200,200
20-1,2-19,20-1,200,200
20-1,2-19,20-12,200,200
20-1,2-19,20-14,200,200
20-1,2-19,20-16,200,200
20-1,2-19,20-18,200,200
20-1,2-19,20-20,200,200
20-1,2-19,20-3,200,135
20-1,2-19,20-4,200,200
20-1,2-19,20-5,200,200
20-1,2-19,20-7,200,200
20-1,2-19,20-8,200,200
20-1,2-19,3-1,200,200
20-1,2-19,3-13,200,200
20-1,2-19,3-18,200,200
20-1,2-19,3-19,200,200
20-1,2-19,3-2,200,200
20-1,2-19,3-20,200,200
20-1,2-19,3-8,200,200
20-1,2-19,4-1,200,200
20-1,2-19,4-10,200,157
20-1,2-19,4-11,200,200
20-1,2-19,5-1,200,200
20-1,2-19,5-16,200,200
20-1,2-19,5-20,200,200
20-1,2-19,5-5,200,200
20-1,2-19,6-1,200,200
20-1,2-19,6-6,200,200
20-1,2-19,7-10,200,200
20-1,2-19,7-11,200,200
20-1,2-19,7-12,200,200
20-1,2-19,7-13,200,200
20-1,2-19,7-14,200,200
20-1,2-19,7-20,200,200
20-1,2-19,7-7,200,200
20-1,2-19,7-8,200,200
20-1,2-19,7-9,200,200
20-1,2-19,8-1,200,200
20-1,2-19,8-13,200,200
20-1,2-19,8-14,200,200
20-1,2-19,8-18,200,200
20-1,2-19,8-3,200,200
20-1,2-19,8-7,200,177
20-1,2-19,8-8,200,200
20-1,2-19,9-1,200,200
20-1,2-19,9-14,200,164
20-1,2-19,9-20,200,200
20-1,2-19,9-7,200,200
20-1,2-20,2-3,185,200
20-1,2-20,2-4,185,200
20-1,2-20,2-5,185,200
20-1,2-20,2-6,185,131
20-1,2-20,2-7,185,200
20-1,2-20,2-8,185,200
20-1,2-20,20-1,185,200
20-1,2-20,20-12,185,200
20-1,2-20,20-14,185,200
20-1,2-20,20-16,185,200
20-1,2-20,20-18,185,200
20-1,2-20,20-20,185,200
20-1,2-20,20-3,185,135
20-1,2-20,20-4,185,200
20-1,2-20,20-5,185,200
20-1,2-20,20-7,185,200
20-1,2-20,20-8,185,200
20-1,2-20,3-1,185,200
20-1,2-20,3-13,185,200
20-1,2-20,3-18,185,200
20-1,2-20,3-19,185,200
20-1,2-20,3-2,185,200
20-1,2-20,3-20,185,200
20-1,2-20,3-8,185,200
20-1,2-20,4-1,185,200
20-1,2-20,4-10,185,157
20-1,2-20,4-11,185,200
20-1,2-20,5-1,185,200
20-1,2-20,5-16,185,200
20-1,2-20,5-20,185,200
20-1,2-20,5-5,185,200
20-1,2-20,6-1,185,200
20-1,2-20,6-6,185,200
20-1,2-20,7-10,185,200
20-1,2-20,7-11,185,200
20-1,2-20,7-12,185,200
20-1,2-20,7-13,185,200
20-1,2-20,7-14,185,200
20-1,2-20,7-20,185,200
20-1,2-20,7-7,185,200
20-1,2-20,7-8,185,200
20-1,2-20,7-9,185,200
20-1,2-20,8-1,185,200
20-1,2-20,8-13,185,200
20-1,2-20,8-14,185,200
20-1,2-20,8-18,185,200
20-1,2-20,8-3,185,200
20-1,2-20,8-7,185,177
20-1,2-20,8-8,185,200
20-1,2-20,9-1,185,200
20-1,2-20,9-14,185,164
20-1,2-20,9-20,185,200
20-1,2-20,9-7,185,200
20-1,2-3,2-4,200,200
20-1,2-3,2-5,200,200
20-1,2-3,2-6,200,131
20-1,2-3,2-7,200,200
20-1,2-3,2-8,200,200
20-1,2-3,20-1,200,200
20-1,2-3,20-12,200,200
20-1,2-3,20-14,200,200
20-1,2-3,20-16,200,200
20-1,2-3,20-18,200,200
20-1,2-3,20-20,200,200
20-1,2-3,20-3,200,135
20-1,2-3,20-4,200,200
20-1,2-3,20-5,200,200
20-1,2-3,20-7,200,200
20-1,2-3,20-8,200,200
20-1,2-3,3-1,200,200
20-1,2-3,3-13,200,200
20-1,2-3,3-18,200,200
20-1,2-3,3-19,200,200
20-1,2-3,3-2,200,200
20-1,2-3,3-20,200,200
20-1,2-3,3-8,200,200
20-1,2-3,4-1,200,200
20-1,2-3,4-10,200,157
20-1,2-3,4-11,200,200
20-1,2-3,5-1,200,200
20-1,2-3,5-16,200,200
20-1,2-3,5-20,200,200
20-1,2-3,5-5,200,200
20-1,2-3,6-1,200,200
20-1,2-3,6-6,200,200
20-1,2-3,7-10,200,200
20-1,2-3,7-11,200,200
20-1,2-3,7-12,200,200
20-1,2-3,7-13,200,200
20-1,2-3,7-14,200,200
20-1,2-3,7-20,200,200
20-1,2-3,7-7,200,200
20-1,2-3,7-8,200,200
20-1,2-3,7-9,200,200
20-1,2-3,8-1,200,200
20-1,2-3,8-13,200,200
20-1,2-3,8-14,200,200
20-1,2-3,8-18,200,200
20-1,2-3,8-3,200,200
20-1,2-3,8-7,200,177
20-1,2-3,8-8,200,200
20-1,2-3,9-1,200,200
20-1,2-3,9-14,200,164
20-1,2-3,9-20,200,200
20-1,2-3,9-7,200,200
20-1,2-4,2-5,200,200
20-1,2-4,2-6,200,131
20-1,2-4,2-7,200,200
20-1,2-4,2-8,200,200
20-1,2-4,20-1,200,200
20-1,2-4,20-12,200,200
20-1,2-4,20-14,200,200
20-1,2-4,20-16,200,200
20-1,2-4,20-18,200,200
20-1,2-4,20-20,200,200
20-1,2-4,20-3,200,135
20-1,2-4,20-4,200,200
20-1,2-4,20-5,200,200
20-1,2-4,20-7,200,200
20-1,2-4,20-8,200,200
20-1,2-4,3-1,200,200
20-1,2-4,3-13,200,200
20-1,2-4,3-18,200,200
20-1,2-4,3-19,200,200
20-1,2-4,3-2,200,200
20-1,2-4,3-20,200,200
20-1,2-4,3-8,200,200
20-1,2-4,4-1,200,200
20-1,2-4,4-10,200,157
20-1,2-4,4-11,200,200
20-1,2-4,5-1,200,200
20-1,2-4,5-16,200,200
20-1,2-4,5-20,200,200
20-1,2-4,5-5,200,200
20-1,2-4,6-1,200,200
20-1,2-4,6-6,200,200
20-1,2-4,7-10,200,200
20-1,2-4,7-11,200,200
20-1,2-4,7-12,200,200
20-1,2-4,7-13,200,200
20-1,2-4,7-14,200,200
20-1,2-4,7-20,200,200
20-1,2-4,7-7,200,200
20-1,2-4,7-8,200,200
20-1,2-4,7-9,200,200
20-1,2-4,8-1,200,200
20-1,2-4,8-13,200,200
20-1,2-4,8-14,200,200
20-1,2-4,8-18,200,200
20-1,2-4,8-3,200,200
20-1,2-4,8-7,200,177
20-1,2-4,8-8,200,200
20-1,2-4,9-1,200,200
20-1,2-4,9-14,200,164
20-1,2-4,9-20,200,200
20-1,2-4,9-7,200,200
20-1,2-5,2-6,200,131
20-1,2-5,2-7,200,200
20-1,2-5,2-8,200,200
20-1,2-5,20-1,200,200
20-1,2-5,20-12,200,200
20-1,2-5,20-14,200,200
20-1,2-5,20-16,200,200
20-1,2-5,20-18,200,200
20-1,2-5,20-20,200,200
20-1,2-5,20-3,200,135
20-1,2-5,20-4,200,200
20-1,2-5,20-5,200,200
20-1,2-5,20-7,200,200
20-1,2-5,20-8,200,200
20-1,2-5,3-1,200,200
20-1,2-5,3-13,200,200
20-1,2-5,3-18,200,200
20-1,2-5,3-19,200,200
20-1,2-5,3-2,200,200
20-1,2-5,3-20,200,200
20-1,2-5,3-8,200,200
20-1,2-5,4-1,200,200
20-1,2-5,4-10,200,157
20-1,2-5,4-11,200,200
20-1,2-5,5-1,200,200
20-1,2-5,5-16,200,200
20-1,2-5,5-20,200,200
20-1,2-5,5-5,200,200
20-1,2-5,6-1,200,200
20-1,2-5,6-6,200,200
20-1,2-5,7-10,200,200
20-1,2-5,7-11,200,200
20-1,2-5,7-12,200,200
20-1,2-5,7-13,200,200
20-1,2-5,7-14,200,200
20-1,2-5,7-20,200,200
20-1,2-5,7-7,200,200
20-1,2-5,7-8,200,200
20-1,2-5,7-9,200,200
20-1,2-5,8-1,200,200
20-1,2-5,8-13,200,200
20-1,2-5,8-14,200,200
20-1,2-5,8-18,200,200
20-1,2-5,8-3,200,200
20-1,2-5,8-7,200,177
20-1,2-5,8-8,200,200
20-1,2-5,9-1,200,200
20-1,2-5,9-14,200,164
20-1,2-5,9-20,200,200
20-1,2-5,9-7,200,200
20-1,2-6,2-7,131,200
20-1,2-6,2-8,131,200
20-1,2-6,20-1,131,200
20-1,2-6,20-12,131,200
20-1,2-6,20-14,131,200
20-1,2-6,20-16,131,200
20-1,2-6,20-18,131,200
20-1,2-6,20-20,131,200
20-1,2-6,20-3,131,135
20-1,2-6,20-4,131,200
20-1,2-6,20-5,131,200
20-1,2-6,20-7,131,200
20-1,2-6,20-8,131,200
20-1,2-6,3-1,131,200
20-1,2-6,3-13,131,200
20-1,2-6,3-18,131,200
20-1,2-6,3-19,131,200
20-1,2-6,3-2,131,200
20-1,2-6,3-20,131,200
20-1,2-6,3-8,131,200
20-1,2-6,4-1,131,200
20-1,2-6,4-10,131,157
20-1,2-6,4-11,131,200
20-1,2-6,5-1,131,200
20-1,2-6,5-16,131,200
20-1,2-6,5-20,131,200
20-1,2-6,5-5,131,200
20-1,2-6,6-1,131,200
20-1,2-6,6-6,131,200
20-1,2-6,7-10,131,200
20-1,2-6,7-11,131,200
20-1,2-6,7-12,131,200
20-1,2-6,7-13,131,200
20-1,2-6,7-14,131,200
20-1,2-6,7-20,131,200
20-1,2-6,7-7,131,200
20-1,2-6,7-8,131,200
20-1,2-6,7-9,131,200
20-1,2-6,8-1,131,200
20-1,2-6,8-13,131,200
20-1,2-6,8-14,131,200
20-1,2-6,8-18,131,200
20-1,2-6,8-3,131,200
20-1,2-6,8-7,131,177
20-1,2-6,8-8,131,200
20-1,2-6,9-1,131,200
20-1,2-6,9-14,131,164
20-1,2-6,9-20,131,200
20-1,2-6,9-7,131,200
20-1,2-7,2-8,200,200
20-1,2-7,20-1,200,200
20-1,2-7,20-12,200,200
20-1,2-7,20-14,200,200
20-1,2-7,20-16,200,200
20-1,2-7,20-18,200,200
20-1,2-7,20-20,200,200
20-1,2-7,20-3,200,135
20-1,2-7,20-4,200,200
20-1,2-7,20-5,200,200
20-1,2-7,20-7,200,200
20-1,2-7,20-8,200,200
20-1,2-7,3-1,200,200
20-1,2-7,3-13,200,200
20-1,2-7,3-18,200,200
20-1,2-7,3-19,200,200
20-1,2-7,3-2,200,200
20-1,2-7,3-20,200,200
20-1,2-7,3-8,200,200
20-1,2-7,4-1,200,200
20-1,2-7,4-10,200,157
20-1,2-7,4-11,200,200
20-1,2-7,5-1,200,200
20-1,2-7,5-16,200,200
20-1,2-7,5-20,200,200
20-1,2-7,5-5,200,200
20-1,2-7,6-1,200,200
20-1,2-7,6-6,200,200
20-1,2-7,7-10,200,200
20-1,2-7,7-11,200,200
20-1,2-7,7-12,200,200
20-1,2-7,7-13,200,200
20-1,2-7,7-14,200,200
20-1,2-7,7-20,200,200
20-1,2-7,7-7,200,200
20-1,2-7,7-8,200,200
20-1,2-7,7-9,200,200
20-1,2-7,8-1,200,200
20-1,2-7,8-13,200,200
20-1,2-7,8-14,200,200
20-1,2-7,8-18,200,200
20-1,2-7,8-3,200,200
20-1,2-7,8-7,200,177
20-1,2-7,8-8,200,200
20-1,2-7,9-1,200,200
20-1,2-7,9-14,200,164
20-1,2-7,9-20,200,200
20-1,2-7,9-7,200,200
20-1,2-8,20-1,200,200
20-1,2-8,20-12,200,200
20-1,2-8,20-14,200,200
20-1,2-8,20-16,200,200
20-1,2-8,20-18,200,200
20-1,2-8,20-20,200,200
20-1,2-8,20-3,200,135
20-1,2-8,20-4,200,200
20-1,2-8,20-5,200,200
20-1,2-8,20-7,200,200
20-1,2-8,20-8,200,200
20-1,2-8,3-1,200,200
20-1,2-8,3-13,200,200
20-1,2-8,3-18,200,200
20-1,2-8,3-19,200,200
20-1,2-8,3-2,200,200
20-1,2-8,3-20,200,200
20-1,2-8,3-8,200,200
20-1,2-8,4-1,200,200
20-1,2-8,4-10,200,157
20-1,2-8,4-11,200,200
20-1,2-8,5-1,200,200
20-1,2-8,5-16,200,200
20-1,2-8,5-20,200,200
20-1,2-8,5-5,200,200
20-1,2-8,6-1,200,200
20-1,2-8,6-6,200,200
20-1,2-8,7-10,200,200
20-1,2-8,7-11,200,200
20-1,2-8,7-12,200,200
20-1,2-8,7-13,200,200
20-1,2-8,7-14,200,200
20-1,2-8,7-20,200,200
20-1,2-8,7-7,200,200
20-1,2-8,7-8,200,200
20-1,2-8,7-9,200,200
20-1,2-8,8-1,200,200
20-1,2-8,8-13,200,200
20-1,2-8,8-14,200,200
20-1,2-8,8-18,200,200
20-1,2-8,8-3,200,200
20-1,2-8,8-7,200,177
20-1,2-8,8-8,200,200
20-1,2-8,9-1,200,200
20-1,2-8,9-14,200,164
20-1,2-8,9-20,200,200
20-1,2-8,9-7,200,200
20-1,20-1,20-12,200,200
20-1,20-1,20-14,200,200
20-1,20-1,20-16,200,200
20-1,20-1,20-18,200,200
20-1,20-1,20-20,200,200
20-1,20-1,20-3,200,135
20-1,20-1,20-4,200,200
20-1,20-1,20-5,200,200
20-1,20-1,20-7,200,200
20-1,20-1,20-8,200,200
20-1,20-1,3-1,200,200
20-1,20-1,3-13,200,200
20-1,20-1,3-18,200,200
20-1,20-1,3-19,200,200
20-1,20-1,3-2,200,200
20-1,20-1,3-20,200,200
20-1,20-1,3-8,200,200
20-1,20-1,4-1,200,200
20-1,20-1,4-10,200,157
20-1,20-1,4-11,200,200
20-1,20-1,5-1,200,200
20-1,20-1,5-16,200,200
20-1,20-1,5-20,200,200
20-1,20-1,5-5,200,200
20-1,20-1,6-1,200,200
20-1,20-1,6-6,200,200
20-1,20-1,7-10,200,200
20-1,20-1,7-11,200,200
20-1,20-1,7-12,200,200
20-1,20-1,7-13,200,200
20-1,20-1,7-14,200,200
20-1,20-1,7-20,200,200
20-1,20-1,7-7,200,200
20-1,20-1,7-8,200,200
20-1,20-1,7-9,200,200
20-1,20-1,8-1,200,200
20-1,20-1,8-13,200,200
20-1,20-1,8-14,200,200
20-1,20-1,8-18,200,200
20-1,20-1,8-3,200,200
20-1,20-1,8-7,200,177
20-1,20-1,8-8,200,200
20-1,20-1,9-1,200,200
20-1,20-1,9-14,200,164
20-1,20-1,9-20,200,200
20-1,20-1,9-7,200,200
20-1,20-12,20-14,200,200
20-1,20-12,20-16,200,200
20-1,20-12,20-18,200,200
20-1,20-12,20-20,200,200
20-1,20-12,20-3,200,135
20-1,20-12,20-4,200,200
20-1,20-12,20-5,200,200
20-1,20-12,20-7,200,200
20-1,20-12,20-8,200,200
20-1,20-12,3-1,200,200
20-1,20-12,3-13,200,200
20-1,20-12,3-18,200,200
20-1,20-12,3-19,200,200
20-1,20-12,3-2,200,200
20-1,20-12,3-20,200,200
20-1,20-12,3-8,200,200
20-1,20-12,4-1,200,200
20-1,20-12,4-10,200,157
20-1,20-12,4-11,200,200
20-1,20-12,5-1,200,200
20-1,20-12,5-16,200,200
20-1,20-12,5-20,200,200
20-1,20-12,5-5,200,200
20-1,20-12,6-1,200,200
20-1,20-12,6-6,200,200
20-1,20-12,7-10,200,200
20-1,20-12,7-11,200,200
20-1,20-12,7-12,200,200
20-1,20-12,7-13,200,200
20-1,20-12,7-14,200,200
20-1,20-12,7-20,200,200
20-1,20-12,7-7,200,200
20-1,20-12,7-8,200,200
20-1,20-12,7-9,200,200
20-1,20-12,8-1,200,200
20-1,20-12,8-13,200,200
20-1,20-12,8-14,200,200
20-1,20-12,8-18,200,200
20-1,20-12,8-3,200,200
20-1,20-12,8-7,200,177
20-1,20-12,8-8,200,200
20-1,20-12,9-1,200,200
20-1,20-12,9-14,200,164
20-1,20-12,9-20,200,200
20-1,20-12,9-7,200,200
20-1,20-14,20-16,200,200
20-1,20-14,20-18,200,200
20-1,20-14,20-20,200,200
20-1,20-14,20-3,200,135
20-1,20-14,20-4,200,200
20-1,20-14,20-5,200,200
20-1,20-14,20-7,200,200
20-1,20-14,20-8,200,200
20-1,20-14,3-1,200,200
20-1,20-14,3-13,200,200
20-1,20-14,3-18,200,200
20-1,20-14,3-19,200,200
20-1,20-14,3-2,200,200
20-1,20-14,3-20,200,200
20-1,20-14,3-8,200,200
20-1,20-14,4-1,200,200
20-1,20-14,4-10,200,157
20-1,20-14,4-11,200,200
20-1,20-14,5-1,200,200
20-1,20-14,5-16,200,200
20-1,20-14,5-20,200,200
20-1,20-14,5-5,200,200
20-1,20-14,6-1,200,200
20-1,20-14,6-6,200,200
20-1,20-14,7-10,200,200
20-1,20-14,7-11,200,200
20-1,20-14,7-12,200,200
20-1,20-14,7-13,200,200
20-1,20-14,7-14,200,200
20-1,20-14,7-20,200,200
20-1,20-14,7-7,200,200
20-1,20-14,7-8,200,200
20-1,20-14,7-9,200,200
20-1,20-14,8-1,200,200
20-1,20-14,8-13,200,200
20-1,20-14,8-14,200,200
20-1,20-14,8-18,200,200
20-1,20-14,8-3,200,200
20-1,20-14,8-7,200,177
20-1,20-14,8-8,200,200
20-1,20-14,9-1,200,200
20-1,20-14,9-14,200,164
20-1,20-14,9-20,200,200
20-1,20-14,9-7,200,200
20-1,20-16,20-18,200,200
20-1,20-16,20-20,200,200
20-1,20-16,20-3,200,135
20-1,20-16,20-4,200,200
20-1,20-16,20-5,200,200
20-1,20-16,20-7,200,200
20-1,20-16,20-8,200,200
20-1,20-16,3-1,200,200
20-1,20-16,3-13,200,200
20-1,20-16,3-18,200,200
20-1,20-16,3-19,200,200
20-1,20-16,3-2,200,200
20-1,20-16,3-20,200,200
20-1,20-16,3-8,200,200
20-1,20-16,4-1,200,200
20-1,20-16,4-10,200,157
20-1,20-16,4-11,200,200
20-1,20-16,5-1,200,200
20-1,20-16,5-16,200,200
20-1,20-16,5-20,200,200
20-1,20-16,5-5,200,200
20-1,20-16,6-1,200,200
20-1,20-16,6-6,200,200
20-1,20-16,7-10,200,200
20-1,20-16,7-11,200,200
20-1,20-16,7-12,200,200
20-1,20-16,7-13,200,200
20-1,20-16,7-14,200,200
20-1,20-16,7-20,200,200
20-1,20-16,7-7,200,200
20-1,20-16,7-8,200,200
20-1,20-16,7-9,200,200
20-1,20-16,8-1,200,200
20-1,20-16,8-13,200,200
20-1,20-16,8-14,200,200
20-1,20-16,8-18,200,200
20-1,20-16,8-3,200,200
20-1,20-16,8-7,200,177
20-1,20-16,8-8,200,200
20-1,20-16,9-1,200,200
20-1,20-16,9-14,200,164
20-1,20-16,9-20,200,200
20-1,20-16,9-7,200,200
20-1,20-18,20-20,200,200
20-1,20-18,20-3,200,135
20-1,20-18,20-4,200,200
20-1,20-18,20-5,200,200
20-1,20-18,20-7,200,200
20-1,20-18,20-8,200,200
20-1,20-18,3-1,200,200
20-1,20-18,3-13,200,200
20-1,20-18,3-18,200,200
20-1,20-18,3-19,200,200
20-1,20-18,3-2,200,200
20-1,20-18,3-20,200,200
20-1,20-18,3-8,200,200
20-1,20-18,4-1,200,200
20-1,20-18,4-10,200,157
20-1,20-18,4-11,200,200
20-1,20-18,5-1,200,200
20-1,20-18,5-16,200,200
20-1,20-18,5-20,200,200
20-1,20-18,5-5,200,200
20-1,20-18,6-1,200,200
20-1,20-18,6-6,200,200
20-1,20-18,7-10,200,200
20-1,20-18,7-11,200,200
20-1,20-18,7-12,200,200
20-1,20-18,7-13,200,200
20-1,20-18,7-14,200,200
20-1,20-18,7-20,200,200
20-1,20-18,7-7,200,200
20-1,20-18,7-8,200,200
20-1,20-18,7-9,200,200
20-1,20-18,8-1,200,200
20-1,20-18,8-13,200,200
20-1,20-18,8-14,200,200
20-1,20-18,8-18,200,200
20-1,20-18,8-3,200,200
20-1,20-18,8-7,200,177
20-1,20-18,8-8,200,200
20-1,20-18,9-1,200,200
20-1,20-18,9-14,200,164
20-1,20-18,9-20,200,200
20-1,20-18,9-7,200,200
20-1,20-20,20-3,200,135
20-1,20-20,20-4,200,200
20-1,20-20,20-5,200,200
20-1,20-20,20-7,200,200
20-1,20-20,20-8,200,200
20-1,20-20,3-1,200,200
20-1,20-20,3-13,200,200
20-1,20-20,3-18,200,200
20-1,20-20,3-19,200,200
20-1,20-20,3-2,200,200
20-1,20-20,3-20,200,200
20-1,20-20,3-8,200,200
20-1,20-20,4-1,200,200
20-1,20-20,4-10,200,157
20-1,20-20,4-11,200,200
20-1,20-20,5-1,200,200
20-1,20-20,5-16,200,200
20-1,20-20,5-20,200,200
20-1,20-20,5-5,200,200
20-1,20-20,6-1,200,200
20-1,20-20,6-6,200,200
20-1,20-20,7-10,200,200
20-1,20-20,7-11,200,200
20-1,20-20,7-12,200,200
20-1,20-20,7-13,200,200
20-1,20-20,7-14,200,200
20-1,20-20,7-20,200,200
20-1,20-20,7-7,200,200
20-1,20-20,7-8,200,200
20-1,20-20,7-9,200,200
20-1,20-20,8-1,200,200
20-1,20-20,8-13,200,200
20-1,20-20,8-14,200,200
20-1,20-20,8-18,200,200
20-1,20-20,8-3,200,200
20-1,20-20,8-7,200,177
20-1,20-20,8-8,200,200
20-1,20-20,9-1,200,200
20-1,20-20,9-14,200,164
20-1,20-20,9-20,200,200
20-1,20-20,9-7,200,200
20-1,20-3,20-4,135,200
20-1,20-3,20-5,135,200
20-1,20-3,20-7,135,200
20-1,20-3,20-8,135,200
20-1,20-3,3-1,135,200
20-1,20-3,3-13,135,200
20-1,20-3,3-18,135,200
20-1,20-3,3-19,135,200
20-1,20-3,3-2,135,200
20-1,20-3,3-20,135,200
20-1,20-3,3-8,135,200
20-1,20-3,4-1,135,200
20-1,20-3,4-10,135,157
20-1,20-3,4-11,135,200
20-1,20-3,5-1,135,200
20-1,20-3,5-16,135,200
20-1,20-3,5-20,135,200
20-1,20-3,5-5,135,200
20-1,20-3,6-1,135,200
20-1,20-3,6-6,135,200
20-1,20-3,7-10,135,200
20-1,20-3,7-11,135,200
20-1,20-3,7-12,135,200
20-1,20-3,7-13,135,200
